"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"43","Tuesday 8th September 2020 18:52","https://sullygnome.com/channel/wilbursoot/stream/561312866","82","15714","16607","3074","2049","34090","18838","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"44","Sunday 6th September 2020 20:31","https://sullygnome.com/channel/wilbursoot/stream/546060050","88","33432","35939","3162","2108","48441","28150","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"45","Friday 4th September 2020 19:54","https://sullygnome.com/channel/wilbursoot/stream/526384866","185","9827","13338","4075","1253","41804","12071","Ooblets|ooblets|https://static-cdn.jtvnw.net/ttv-boxart/Ooblets-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"46","Thursday 3rd September 2020 17:37","https://sullygnome.com/channel/wilbursoot/stream/515977218","82","18950","20563","2874","1916","34003","18050","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"47","Monday 31st August 2020 16:39","https://sullygnome.com/channel/wilbursoot/stream/488529330","320","14718","20144","11952","2173","113021","17139","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"48","Thursday 27th August 2020 20:02","https://sullygnome.com/channel/wilbursoot/stream/453152962","177","19050","23152","7375","2458","59088","19696","Surgeon Simulator 2|Surgeon_Simulator_2|https://static-cdn.jtvnw.net/ttv-boxart/Surgeon%20Simulator%202-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"49","Monday 24th August 2020 19:51","https://sullygnome.com/channel/wilbursoot/stream/424223634","188","21518","23820","8185","2518","82580","21817","Among Us|among_Us|https://static-cdn.jtvnw.net/ttv-boxart/Among%20Us-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"50","Saturday 22nd August 2020 17:48","https://sullygnome.com/channel/wilbursoot/stream/403818818","71","26840","28414","3091","2472","35914","22164","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"51","Saturday 15th August 2020 18:41","https://sullygnome.com/channel/wilbursoot/stream/338849730","198","10996","15665","7083","2023","78973","19280","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"52","Monday 10th August 2020 18:57","https://sullygnome.com/channel/wilbursoot/stream/294012786","107","15289","20142","4873","2436","43369","13873","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Duck Game|Duck_Game|https://static-cdn.jtvnw.net/ttv-boxart/Duck%20Game-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
