"","Stream start time","Stream URL","Stream length","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"111","Wednesday 17th June 2020 16:59","https://sullygnome.com/channel/philza/stream/38729435760","360","4240","7876","1411","235","32952","5266","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"112","Monday 15th June 2020 16:59","https://sullygnome.com/channel/philza/stream/38690449152","285","4009","4406","655","137","23487","4601","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"113","Saturday 13th June 2020 18:48","https://sullygnome.com/channel/philza/stream/38655325136","191","4183","5131","1431","440","0","0","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"114","Friday 12th June 2020 17:26","https://sullygnome.com/channel/philza/stream/38634394912","303","4075","4447","708","134","21336","4064","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"115","Wednesday 10th June 2020 17:28","https://sullygnome.com/channel/philza/stream/38595121632","286","4611","5018","847","178","29872","5898","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"116","Wednesday 10th June 2020 17:15","https://sullygnome.com/channel/philza/stream/38594631152","0","3647","4077","90","360","6129","24516","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"117","Monday 8th June 2020 16:59","https://sullygnome.com/channel/philza/stream/38555343072","330","4961","5921","1056","192","31742","5464","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"118","Saturday 6th June 2020 17:00","https://sullygnome.com/channel/philza/stream/38516514480","314","4673","5420","782","148","23973","4236","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"119","Friday 5th June 2020 16:58","https://sullygnome.com/channel/philza/stream/38495681872","286","4791","5282","804","169","25242","4792","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"120","Wednesday 3rd June 2020 16:58","https://sullygnome.com/channel/philza/stream/38456677040","361","5062","12683","2199","351","37466","5746","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"121","Monday 1st June 2020 16:59","https://sullygnome.com/channel/philza/stream/38419118128","421","4067","5521","1255","179","31258","4355","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"122","Friday 29th May 2020 16:59","https://sullygnome.com/channel/philza/stream/38359773200","585","4197","4865","1613","165","41017","4110","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"123","Wednesday 27th May 2020 17:00","https://sullygnome.com/channel/philza/stream/38319402192","419","4064","4779","1162","166","32313","4392","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"124","Tuesday 26th May 2020 16:38","https://sullygnome.com/channel/philza/stream/38299056608","366","2347","2771","579","92","0","3346","Minecraft Dungeons|Minecraft_Dungeons|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft%20Dungeons-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"125","Monday 25th May 2020 16:59","https://sullygnome.com/channel/philza/stream/38279625552","315","4133","4587","991","188","27736","4843","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"126","Saturday 23rd May 2020 16:44","https://sullygnome.com/channel/philza/stream/38239753936","390","2096","2734","500","76","21477","3065","Minecraft Dungeons|Minecraft_Dungeons|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft%20Dungeons-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"127","Friday 22nd May 2020 16:49","https://sullygnome.com/channel/philza/stream/38218238672","370","3048","3435","630","100","28712","4318","Minecraft Dungeons|Minecraft_Dungeons|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft%20Dungeons-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"128","Wednesday 20th May 2020 16:57","https://sullygnome.com/channel/philza/stream/38177453936","422","3700","4961","989","141","30983","4109","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"129","Monday 18th May 2020 16:59","https://sullygnome.com/channel/philza/stream/38137317040","375","5081","5747","1321","211","33895","5190","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"130","Saturday 16th May 2020 18:52","https://sullygnome.com/channel/philza/stream/38098855584","172","4115","4800","907","302","23689","6776","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"131","Friday 15th May 2020 16:57","https://sullygnome.com/channel/philza/stream/1601448593","707","4180","5247","1888","160","47994","4027","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"132","Wednesday 13th May 2020 16:56","https://sullygnome.com/channel/philza/stream/38032652384","423","3754","4892","984","135","30843","4122","Minecraft|Minecraft|https://static-cdn.jtvnw.net/ttv-boxart/Minecraft-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100|Rocket League|Rocket_League|https://static-cdn.jtvnw.net/ttv-boxart/Rocket%20League-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
